Nautilus	SubnauticaModding/Nautilus	Nautilus_SN.STABLE_.zip	1	1	-pre	Nautilus is the core Subnautica modding library that aims to enhance developer productivity by offering common helper utilities as easy to use and robust as possible.
BepInEx Tweaks	toebeann/BepInExTweaks.Subnautica	Tobey.BepInExTweaks.Subnautica.zip	0	0	-	Useful tweaks for BepInEx in Subnautica, resolving common issues with BepInEx.
